prompt_id,scenario_id,geometry_type,obstacle_type,level,perturbation_type,parameter_shift_cm,motion_constraint,image_path,image_role,reference_judgment,prompt_text,design_note
T1_L1_BASE,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L1,none,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请结合随消息发送的楼梯转角实地图，判断一台普通电动轮椅能否从图中下方左侧通道进入，经过这个楼梯转角平台，再从下方右侧通道离开。这个转角不是规则矩形，右上方有不可进入的井道区域，左上角有不可移动的消防栓和管道组合，中间有一段斜向边界。轮椅只能直线前进或后退，需要转弯时必须先停下来再调转方向，不能连续弧线转弯。请给出能过/不能过/信息不足的判断，并说明理由。","L1 自然语言基线：说明消防栓和管道组合存在，但不提供具体尺寸"
T1_L1_CONSTRAINT,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L1,motion_constraint_emphasis,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请重点考虑运动方式：这台电动轮椅不能边走边画弧转弯，只能直线移动；每次改变方向前必须停在平台内再调转朝向。请仅根据实地图和这类运动约束，判断它能否从左下通道进入、经过楼梯转角平台、再从右下通道离开。右上方井道不可通行，左上方消防栓和管道组合也不可通行。请说明你的判断依据。","L1 强调直线运动和停车调向；不给厘米级尺寸"
T1_L1_VISUAL_CROSSCHECK,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L1,visual_crosscheck,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请先观察实地图里的真实结构：左下入口、右下出口、前方栏杆、右上不可通行井道、左上不可通行的消防栓和管道组合，以及中右部斜向边界。不要从照片中自行估算厘米级尺寸，只做自然语言层面的空间判断。轮椅需要以若干段直线移动并在平台内停车调向。请判断它是否大概率能通过，并说明理由。","L1 视觉结构理解；不给尺寸"
T1_L1_DISTRACTOR,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L1,irrelevant_visual_detail,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"楼梯转角实地图中能看到灰色地面、白色墙面、左侧包着保温层的管道、墙边消防设施、右侧墙面检修口和前方栏杆。请判断电动轮椅能否从左下通道进入并从右下通道离开。右上井道不可通过；左上消防栓和管道组合不可通过；轮椅只能直线移动，转弯时需要停车调向。请说明哪些视觉信息是关键，哪些只是无关外观。","L1 加入照片外观干扰；不给尺寸"
T1_L2S_OBSTACLE_SEMANTIC,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2S,none,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请结合实地图和以下半结构化描述判断轮椅能否通过。轮椅尺寸接近一个较长的矩形，平台的左下和右下通道都比轮椅宽；左上角的消防栓和管道组合是一个贴墙的 L 形不可通行障碍，只占据左上角局部空间，不应把整个左侧平台都视为不可通行；右上井道也不可通行，但主要通行路线位于平台下方和中部。轮椅只能直线移动，转向时停车调向。请判断是否存在从左下到右下的可行路线。","L2S 语义建模基线：强调障碍物是局部 L 形，不给完整尺寸表"
T1_L2S_KEY_DIMS,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2S,semantic_key_dimensions,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请根据实地图和关键尺寸做判断：轮椅前后长约 121cm、左右宽约 68.5cm；左下入口和右下出口都约 110cm 宽。左上消防栓和管道组合不可通行，但它主要占据左上角局部；右上井道不可通行；平台下方和中部仍是主要通行空间。轮椅只能分段直线移动，并在需要转向时停车调向。请判断它能否从左下进入并从右下离开。","L2S 给轮椅和入口/出口关键尺寸，但不列完整边界尺寸"
T1_L2S_PATH_REASONING,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2S,semantic_path_decomposition,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请按路径分解思路判断：轮椅先从左下入口直线进入平台下方区域，在平台中部或偏左的可用区域停车调整朝向，再沿下方区域向右下出口直线离开。左上消防栓和管道组合、右上井道都不可进入，但它们不一定处在主要通行路径上。轮椅只能直线移动和停车调向。请结合实地图判断这一路径分解是否可行，并指出关键限制。","L2S 语义路径分解：介于自然语言和完整参数之间"
T1_L2_BASE,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2,none,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请根据实地图和完整参数判断电动轮椅是否能通过楼梯转角。轮椅参数：矩形占地，前后长 121cm，左右宽 68.5cm。通行任务：从左下 110cm 净宽通道进入楼梯转角平台，最后从右下 110cm 净宽通道离开。平台参数：左侧主平台竖向净长约 140cm；右侧竖向净宽约 70cm；右上方约 70cm 宽井道不可通过；中右部斜向边界长约 106cm；斜边上端和右端附近各有约 15cm 短边。左上方消防栓和管道组合不可通过，可近似为贴左上角的 L 形障碍：沿上边横向约 57cm、厚约 20cm；沿左边竖向约 68cm、厚约 20cm。运动约束：轮椅只能做若干段直线移动；每次改变方向前必须停下调转方向。请判断是否存在可行的分段直线路径。","L2 完整参数基线：加入消防栓和管道组合尺寸"
T1_L2_PATH_HINT,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2,path_region_hint,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请判断以下通行思路是否可行：轮椅从左下 110cm 通道进入后，避开左上方消防栓和管道组合，先进入平台下方和中部的可用区域，在该区域内调整车身朝向，再沿底部向右进入右下 110cm 通道离开；不得进入右上约 70cm 宽井道。已知轮椅矩形尺寸为 121cm × 68.5cm；左上消防栓和管道组合是 L 形不可通行障碍，沿上边横向约 57cm、厚约 20cm，沿左边竖向约 68cm、厚约 20cm；中右部斜向边界长约 106cm，斜边两端附近各有约 15cm 短边；右侧竖向区域约 70cm。轮椅只能直线移动，转弯时停车调向。请结合实地图判断这个方案是否能让轮椅通过。","L2 给出候选通行区域，但不提供示意图红圈"
T1_L2_NO_WELL,T1,teacher_photo_turn,shaft_hydrant_pipe_slanted_boundary,L2,obstacle_salience,0,straight_segments_stop_turn,"楼梯转角实地图.jpg",real_scene_only,pass,"请判断轮椅是否能通过，但必须遵守两个限制：右上方约 70cm 宽的井道区域不可进入；左上方消防栓和管道组合也不可进入。不能把这两个区域当作可用回转空间。其余尺寸为：轮椅长 121cm、宽 68.5cm；左下入口净宽 110cm；右下出口净宽 110cm；左侧主平台竖向净长约 140cm；右侧竖向区域约 70cm；斜向边界约 106cm，斜边两端附近各有约 15cm 短边；消防栓和管道组合可近似为左上角 L 形障碍，上边横向约 57cm、左边竖向约 68cm、厚度约 20cm。轮椅只能直线运动，改变方向时需要停下调转方向。请结合实地图判断能否通过。","L2 强调不可进入井道和消防栓/管道组合"
